"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"25,2";"26,1";"25,2";"69,0";"69,0";"64,0";"19,0";"19,8";"18,6";"984,8";"984,8";"984,1";"4,3";"100,0";"8,9";"";"0,0"
"01/01/2023";"0100";"24,3";"25,2";"24,3";"74,0";"74,0";"69,0";"19,4";"19,4";"19,0";"984,9";"985,0";"984,8";"3,3";"104,0";"8,0";"";"0,0"
"01/01/2023";"0200";"24,2";"24,4";"24,2";"78,0";"78,0";"74,0";"20,2";"20,2";"19,4";"984,6";"984,9";"984,6";"2,5";"110,0";"6,0";"";"0,0"
"01/01/2023";"0300";"24,1";"24,3";"24,1";"81,0";"81,0";"78,0";"20,5";"20,5";"20,2";"984,1";"984,6";"984,1";"2,6";"120,0";"6,0";"";"0,0"
"01/01/2023";"0400";"24,0";"24,1";"24,0";"81,0";"82,0";"80,0";"20,6";"20,7";"20,5";"983,5";"984,1";"983,5";"2,5";"118,0";"5,2";"";"0,0"
"01/01/2023";"0500";"23,3";"24,0";"23,3";"86,0";"86,0";"81,0";"20,8";"20,8";"20,5";"983,2";"983,5";"983,2";"1,9";"118,0";"4,8";"";"0,0"
"01/01/2023";"0600";"23,1";"23,3";"23,1";"87,0";"87,0";"86,0";"20,8";"21,0";"20,8";"983,1";"983,2";"983,1";"1,8";"114,0";"4,0";"";"0,0"
"01/01/2023";"0700";"22,7";"23,2";"22,7";"88,0";"88,0";"87,0";"20,7";"20,9";"20,7";"982,9";"983,1";"982,9";"2,1";"114,0";"4,2";"";"0,0"
"01/01/2023";"0800";"22,4";"22,7";"22,3";"92,0";"92,0";"88,0";"21,1";"21,1";"20,6";"983,2";"983,2";"982,8";"1,3";"105,0";"3,6";"";"0,0"
"01/01/2023";"0900";"22,9";"22,9";"22,4";"88,0";"92,0";"88,0";"20,8";"21,3";"20,8";"983,9";"983,9";"983,2";"1,4";"126,0";"2,8";"72,60";"0,0"
"01/01/2023";"1000";"24,3";"24,8";"22,9";"81,0";"88,0";"79,0";"20,8";"21,1";"20,2";"984,3";"984,3";"983,9";"2,3";"123,0";"5,3";"628,00";"0,0"
"01/01/2023";"1100";"25,1";"25,5";"24,3";"76,0";"81,0";"74,0";"20,5";"21,2";"20,3";"984,6";"984,6";"984,3";"2,5";"125,0";"6,1";"970,40";"0,0"
"01/01/2023";"1200";"26,3";"26,3";"24,9";"74,0";"81,0";"73,0";"21,3";"22,2";"20,3";"984,6";"984,7";"984,6";"1,0";"60,0";"4,5";"1116,80";"0,0"
"01/01/2023";"1300";"28,3";"28,6";"26,3";"62,0";"74,0";"60,0";"20,3";"22,0";"19,4";"983,9";"984,6";"983,9";"1,8";"83,0";"4,7";"1755,90";"0,0"
"01/01/2023";"1400";"28,4";"29,7";"28,3";"58,0";"63,0";"55,0";"19,2";"20,8";"18,9";"983,2";"983,9";"983,2";"3,2";"137,0";"5,8";"2407,40";"0,0"
"01/01/2023";"1500";"30,3";"30,9";"28,4";"50,0";"59,0";"48,0";"18,6";"20,3";"18,1";"982,3";"983,2";"982,3";"3,3";"132,0";"7,6";"2682,20";"0,0"
"01/01/2023";"1600";"30,7";"30,8";"28,9";"51,0";"60,0";"48,0";"19,4";"20,5";"18,2";"981,7";"982,3";"981,7";"3,8";"128,0";"8,9";"3212,80";"0,0"
"01/01/2023";"1700";"28,8";"31,6";"28,2";"62,0";"63,0";"45,0";"20,9";"20,9";"18,2";"980,8";"981,7";"980,8";"3,4";"338,0";"7,5";"2775,10";"0,0"
"01/01/2023";"1800";"23,8";"30,4";"23,6";"100,0";"100,0";"57,0";"23,7";"23,7";"20,2";"981,4";"981,4";"980,2";"2,5";"41,0";"14,3";"1655,90";"2,4"
